timestamp,Amakhala Emoyeni,Aurora Wind Power,Chaba Wind Farm,Cookhouse Wind Farm,Copperton Windfarm,Dassieklip Wind Energy Facility,Dorper Wind Farm,Excelsior Wind Energy Facility,Garob Wind Farm,Golden Valley Wind,Gouda Wind Project,Grassridge Wind Farm,Jeffreys Bay Wind Farm,Kangnas Wind Farm,Khobab Wind Farm,Kouga Wind Farm,Loeriesfontein 2 Wind Farm,Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility,Longyuan Mulilo Green Energy De Aar 2 North Wind Energy Facility,Metrowind Van Stadens Wind Farm,Nobelsfontein Phase 1,Nojoli Wind Farm,Noupoort Wind Farm,Nxuba Wind Farm,Oyster Bay Wind Farm,Perdekraal East Wind Farm,Red Cap – Gibson Bay,Roggeveld Wind Farm,Sere Wind Farm,The Karusa Wind Farm,Tsitsikamma Community Wind Farm,Umoya Energy Wind Farm,Waainek Wind Farm,Wesley-Ciskei,Aggregated_Wind_Speed
2023-03-30 22:00:00,2.63,9.69,5.06,2.76,4.5,1.52,3.43,1.7,4.5,2.76,2.95,1.79,3.21,2.99,2.28,3.21,6.65,5.63,5.63,2.22,5.07,2.76,2.12,2.76,3.21,2.86,3.21,3.3,2.55,3.3,2.44,7.04,2.59,3.99,122.31
2023-03-30 23:00:00,2.12,9.33,4.82,2.4,4.74,1.63,3.41,1.39,4.74,2.4,3.05,3.58,3.34,2.95,2.34,3.34,6.14,5.88,5.88,2.23,4.25,2.4,2.1,2.4,3.34,2.87,3.34,3.31,2.4,3.31,2.12,6.82,2.48,3.57,120.42000000000003
2023-03-31 00:00:00,1.53,8.25,4.29,2.01,4.48,1.51,3.01,1.06,4.48,2.01,3.02,0.89,3.12,3.11,2.59,3.12,5.31,5.55,5.55,2.14,3.98,2.01,1.98,2.01,3.12,2.84,3.12,2.23,2.19,2.23,2.12,6.15,2.8,3.52,107.33000000000004
2023-03-31 01:00:00,1.0,7.1,3.99,1.75,4.43,1.51,2.84,1.21,4.43,1.75,2.97,2.24,3.14,3.13,2.55,3.14,5.17,5.05,5.05,2.15,3.38,1.75,2.03,1.75,3.14,2.69,3.14,1.92,1.62,1.92,2.3,5.32,2.61,3.4,101.57000000000001
2023-03-31 02:00:00,0.9,6.43,3.58,1.74,4.4,1.65,2.47,0.82,4.4,1.74,2.93,1.79,3.03,3.33,2.5,3.03,5.17,4.51,4.51,2.27,3.02,1.74,1.58,1.74,3.03,2.65,3.03,1.7,1.13,1.7,2.21,4.56,2.39,3.11,94.78999999999999
2023-03-31 03:00:00,0.88,6.29,3.19,1.95,3.96,1.4,2.05,0.53,3.96,1.95,2.84,0.89,2.79,3.34,2.79,2.79,5.27,4.95,4.95,2.11,2.61,1.95,0.87,1.95,2.79,2.56,2.79,1.71,0.92,1.71,2.2,4.42,2.39,2.84,90.59000000000002
2023-03-31 04:00:00,1.41,5.66,2.87,1.86,3.78,1.58,1.56,0.24,3.78,1.86,2.74,1.79,2.71,3.64,3.04,2.71,5.14,4.47,4.47,2.04,2.25,1.86,0.75,1.86,2.71,2.41,2.71,1.91,0.73,1.91,2.12,4.12,2.22,2.58,87.48999999999998
2023-03-31 05:00:00,1.73,5.55,2.48,1.71,3.69,1.59,0.87,0.45,3.69,1.71,2.82,1.79,2.63,3.51,2.97,2.63,5.05,3.76,3.76,1.82,1.82,1.71,0.54,1.71,2.63,2.51,2.63,1.79,0.49,1.79,2.51,3.93,1.99,2.38,82.64
2023-03-31 06:00:00,1.68,5.23,2.57,1.44,4.23,1.35,1.1,0.74,4.23,1.44,2.49,2.57,2.35,3.41,4.63,2.35,5.4,3.65,3.65,1.18,1.4,1.44,0.21,1.44,2.35,2.23,2.35,1.25,0.96,1.25,1.85,3.65,1.51,2.15,79.72999999999999
2023-03-31 07:00:00,1.66,5.07,2.62,0.76,5.17,1.59,2.21,0.53,5.17,0.76,2.28,2.68,2.42,4.22,5.66,2.42,5.74,3.25,3.25,0.61,1.88,0.76,0.88,0.76,2.42,2.04,2.42,1.09,2.22,1.09,1.35,4.12,1.05,2.42,82.57000000000001
2023-03-31 08:00:00,1.9,5.64,3.21,0.28,5.12,2.11,3.73,0.36,5.12,0.28,2.03,4.92,1.91,5.03,5.66,1.91,4.88,2.9,2.9,0.52,2.21,0.28,0.78,0.28,1.91,1.84,1.91,1.23,2.92,1.23,1.48,4.23,1.08,3.03,84.82000000000002
2023-03-31 09:00:00,2.11,6.27,3.45,0.94,5.02,2.53,5.3,1.42,5.02,0.94,1.87,0.89,2.5,4.12,4.12,2.5,4.36,2.64,2.64,0.76,2.07,0.94,0.68,0.94,2.5,1.7,2.5,1.43,2.79,1.43,2.04,4.41,1.03,3.16,87.02000000000001
2023-03-31 10:00:00,2.02,6.49,4.32,1.95,4.55,2.85,6.0,2.27,4.55,1.95,2.03,3.13,3.8,4.12,1.96,3.8,3.38,2.86,2.86,1.76,1.97,1.95,1.3,1.95,3.8,1.76,3.8,1.41,2.16,1.41,2.89,4.57,1.55,3.9,101.07000000000001
2023-03-31 11:00:00,2.58,7.06,4.54,3.18,4.51,2.99,6.0,2.67,4.51,3.18,2.21,3.58,4.64,3.18,1.11,4.64,2.27,3.03,3.03,3.12,1.62,3.18,3.66,3.18,4.64,2.03,4.64,1.79,1.54,1.79,4.58,4.75,2.56,4.5,116.49000000000004
2023-03-31 12:00:00,3.21,7.78,4.88,3.84,4.34,3.16,5.11,3.0,4.34,3.84,2.52,6.69,5.15,1.36,0.89,5.15,1.65,2.89,2.89,4.31,0.95,3.84,4.67,3.84,5.15,2.46,5.15,2.74,2.55,2.74,4.24,5.64,3.16,4.75,128.88
2023-03-31 13:00:00,3.25,8.31,4.32,4.22,4.55,3.52,4.89,3.41,4.55,4.22,2.53,3.13,4.83,0.53,1.86,4.83,0.81,2.59,2.59,4.36,1.46,4.22,4.04,4.22,4.83,2.49,4.83,3.3,3.73,3.3,3.97,6.43,4.15,4.41,128.67999999999998
2023-03-31 14:00:00,3.37,8.47,3.18,3.9,3.91,3.75,4.38,3.29,3.91,3.9,2.94,8.49,5.21,0.57,3.11,5.21,1.62,2.34,2.34,3.6,1.6,3.9,3.01,3.9,5.21,2.85,5.21,4.27,4.72,4.27,4.94,7.06,6.08,4.34,138.85
2023-03-31 15:00:00,4.33,8.39,2.2,3.83,3.42,3.99,3.99,3.57,3.42,3.83,3.48,4.92,4.25,1.96,3.77,4.25,2.12,1.77,1.77,4.48,1.99,3.83,1.83,3.83,4.25,3.4,4.25,4.67,5.63,4.67,3.32,7.33,5.66,4.0,132.4
2023-03-31 16:00:00,4.27,8.01,1.28,2.93,3.27,3.8,3.63,3.82,3.27,2.93,3.38,3.13,3.89,3.15,4.08,3.89,2.29,1.42,1.42,2.78,2.72,2.93,4.45,2.93,3.89,3.49,3.89,5.13,6.61,5.13,2.58,6.82,3.89,2.51,123.61000000000001
2023-03-31 17:00:00,3.31,7.84,0.43,3.47,3.27,2.18,3.3,3.09,3.27,3.47,3.19,1.34,2.81,1.43,3.3,2.81,2.46,2.38,2.38,2.3,4.34,3.47,5.43,3.47,2.81,3.31,2.81,4.46,5.26,4.46,1.8,6.36,2.24,1.51,109.76
2023-03-31 18:00:00,2.98,7.73,1.08,4.19,2.19,2.06,3.42,2.95,2.19,4.19,3.25,2.92,2.54,0.65,2.3,2.54,2.48,3.91,3.91,1.76,6.34,4.19,4.76,4.19,2.54,3.16,2.54,4.92,4.11,4.92,1.48,5.65,1.32,1.33,110.69
2023-03-31 19:00:00,2.42,7.83,1.84,2.77,2.05,2.38,3.46,2.58,2.05,2.77,3.3,2.24,2.32,1.16,1.85,2.32,2.86,5.14,5.14,1.51,6.08,2.77,2.96,2.77,2.32,3.15,2.32,4.71,3.4,4.71,1.35,5.19,0.7,1.49,101.90999999999995
2023-03-31 20:00:00,1.48,7.21,2.38,2.46,1.99,2.55,3.35,2.08,1.99,2.46,3.44,1.34,2.02,2.9,1.9,2.02,3.69,4.92,4.92,0.93,5.31,2.46,2.01,2.46,2.02,3.2,2.02,4.55,2.58,4.55,1.06,4.49,0.43,1.69,94.86
2023-03-31 21:00:00,0.76,6.55,2.15,2.44,2.21,2.51,3.06,1.97,2.21,2.44,3.53,1.34,1.96,3.5,2.38,1.96,5.03,5.61,5.61,0.88,4.54,2.44,1.44,2.44,1.96,3.15,1.96,3.6,2.21,3.6,1.52,4.12,0.18,1.86,93.11999999999998
2023-03-31 22:00:00,0.71,6.09,1.98,2.11,2.73,2.39,2.56,1.81,2.73,2.11,3.55,1.79,1.97,3.56,2.56,1.97,6.27,5.98,5.98,1.64,3.78,2.11,1.58,2.11,1.97,3.13,1.97,3.14,2.22,3.14,1.36,3.94,0.28,2.17,93.39
2023-03-31 23:00:00,0.73,5.79,2.03,1.81,3.07,2.58,2.3,1.59,3.07,1.81,3.51,1.34,1.54,3.61,3.29,1.54,6.25,5.36,5.36,1.4,3.19,1.81,1.42,1.81,1.54,3.11,1.54,2.83,1.92,2.83,1.28,3.94,0.91,1.74,87.85
2023-04-01 00:00:00,0.55,5.54,2.04,1.68,3.02,2.6,1.82,1.4,3.02,1.68,3.4,2.06,1.84,3.68,3.64,1.84,5.89,4.34,4.34,1.47,2.95,1.68,0.93,1.68,1.84,3.05,1.84,2.81,1.6,2.81,1.11,4.09,1.05,1.9,85.19
2023-04-01 01:00:00,0.87,5.31,1.97,1.9,3.27,2.64,1.61,1.45,3.27,1.9,3.34,2.07,1.78,3.63,3.6,1.78,5.92,4.22,4.22,1.45,2.31,1.9,1.04,1.9,1.78,3.02,1.78,2.64,2.16,2.64,1.49,3.87,1.31,1.95,85.99
2023-04-01 02:00:00,1.53,5.34,2.12,1.39,3.07,2.58,1.46,1.41,3.07,1.39,3.36,0.89,2.3,3.64,3.82,2.3,5.56,3.75,3.75,1.55,2.39,1.39,1.28,1.39,2.3,3.16,2.3,2.47,3.09,2.47,1.63,3.88,1.16,1.61,84.79999999999998
2023-04-01 03:00:00,1.24,5.15,2.14,1.24,3.02,2.49,1.31,1.29,3.02,1.24,3.14,1.34,2.41,3.64,3.76,2.41,5.2,3.48,3.48,1.87,2.0,1.24,1.14,1.24,2.41,2.96,2.41,2.68,2.73,2.68,1.65,3.9,1.11,1.48,82.50000000000003
2023-04-01 04:00:00,1.33,4.85,1.52,1.5,3.0,2.63,1.01,1.44,3.0,1.5,3.17,1.34,2.1,3.46,4.01,2.1,4.78,3.53,3.53,1.74,2.12,1.5,0.98,1.5,2.1,2.99,2.1,2.33,1.92,2.33,1.7,3.77,1.36,1.4,79.64
2023-04-01 05:00:00,1.49,4.27,1.39,1.74,2.88,2.41,0.88,1.14,2.88,1.74,3.2,1.34,2.35,3.39,3.98,2.35,4.73,3.2,3.2,1.54,2.05,1.74,0.96,1.74,2.35,3.03,2.35,2.34,2.19,2.34,1.97,3.46,1.31,1.39,79.32000000000001
2023-04-01 06:00:00,1.26,3.92,1.54,1.44,4.95,2.22,1.27,1.17,4.95,1.44,3.01,1.79,1.97,2.96,3.75,1.97,4.36,3.73,3.73,1.25,1.83,1.44,0.82,1.44,1.97,2.84,1.97,2.47,2.47,2.47,1.59,3.18,1.15,1.17,79.49
2023-04-01 07:00:00,1.31,4.01,0.85,1.48,6.0,3.59,2.86,1.51,6.0,1.48,2.81,1.54,1.42,3.24,3.86,1.42,5.31,3.17,3.17,1.16,3.07,1.48,1.14,1.48,1.42,2.58,1.42,2.48,3.17,2.48,1.16,3.37,1.48,1.22,84.14000000000001
2023-04-01 08:00:00,1.27,4.09,2.1,1.61,6.3,4.37,4.3,1.62,6.3,1.61,2.41,1.66,1.55,4.63,3.81,1.55,5.87,4.2,4.2,1.62,3.15,1.61,1.74,1.61,1.55,2.21,1.55,3.17,4.22,3.17,1.44,3.1,2.15,1.87,97.61
2023-04-01 09:00:00,1.41,4.39,3.16,2.21,6.38,4.89,5.48,2.05,6.38,2.21,2.01,2.5,2.91,4.3,3.46,2.91,5.69,4.43,4.43,2.5,3.02,2.21,1.08,2.21,2.91,1.78,2.91,3.74,4.62,3.74,2.36,2.89,2.71,2.82,112.69999999999997
2023-04-01 10:00:00,1.82,4.34,4.01,2.08,6.43,4.82,5.59,2.1,6.43,2.08,1.78,1.54,4.21,3.91,3.36,4.21,4.96,4.42,4.42,3.43,3.2,2.08,0.57,2.08,4.21,1.38,4.21,4.04,4.74,4.04,2.99,2.47,3.42,3.95,119.32
2023-04-01 11:00:00,1.91,4.92,4.47,1.97,6.3,4.45,5.53,2.0,6.3,1.97,1.87,4.07,4.96,4.12,2.66,4.96,3.95,4.42,4.42,4.12,2.94,1.97,1.76,1.97,4.96,1.47,4.96,3.72,3.62,3.72,3.59,2.57,3.92,4.93,125.47
2023-04-01 12:00:00,2.32,5.82,5.02,2.18,5.26,4.06,4.9,2.21,5.26,2.18,1.93,4.33,5.57,2.63,1.97,5.57,3.31,4.01,4.01,4.55,2.72,2.18,3.56,2.18,5.57,1.61,5.57,3.67,1.75,3.67,4.73,3.36,3.97,5.3,126.93000000000002
2023-04-01 13:00:00,2.55,5.42,5.35,3.39,4.57,3.91,4.51,3.49,4.57,3.39,2.0,4.65,6.01,3.49,1.9,6.01,2.66,3.31,3.31,5.08,2.25,3.39,3.78,3.39,6.01,1.77,6.01,3.22,1.51,3.22,6.95,4.01,4.78,5.85,135.71
2023-04-01 14:00:00,1.89,5.66,5.43,4.38,3.7,4.21,3.81,5.08,3.7,4.38,2.09,5.15,6.63,5.69,2.07,6.63,2.24,2.28,2.28,5.73,1.72,4.38,2.67,4.38,6.63,1.91,6.63,2.93,2.76,2.93,6.95,4.8,6.48,5.97,144.17
2023-04-01 15:00:00,2.13,6.26,5.31,4.79,2.87,5.21,2.53,5.36,2.87,4.79,2.07,1.79,6.62,6.86,2.18,6.62,1.86,1.51,1.51,5.16,1.21,4.79,1.3,4.79,6.62,1.82,6.62,2.61,4.21,2.61,6.57,5.6,6.84,5.71,139.6
2023-04-01 16:00:00,3.12,6.37,4.91,4.59,1.0,5.06,0.2,4.76,1.0,4.59,1.91,0.89,5.78,5.6,2.57,5.78,2.27,0.68,0.68,3.53,0.22,4.59,1.23,4.59,5.78,1.64,5.78,2.58,5.25,2.58,4.48,5.51,6.03,5.18,120.73000000000002
