timestamp,temperature,humidity,wind_speed,wind_direction,wind_gusts
2023-04-02 09:00:00,21.7,49,2.68,107,2.25
2023-04-02 10:00:00,22.81,43,2.66,129,1.94
2023-04-02 11:00:00,22.81,39,2.51,137,1.79
2023-04-02 12:00:00,22.81,40,2.49,179,1.95
2023-04-02 13:00:00,22.26,42,2.91,195,2.25
2023-04-02 14:00:00,22.26,47,3.72,207,2.87
2023-04-02 15:00:00,20.04,57,4.54,207,4.07
2023-04-02 16:00:00,19.48,67,3.93,208,4.26
2023-04-02 17:00:00,19.48,78,1.85,204,2.43
2023-04-02 18:00:00,17.81,87,1.52,221,1.66
2023-04-02 19:00:00,17.81,89,1.46,227,1.52
2023-04-02 20:00:00,17.81,92,1.94,243,2.36
2023-04-02 21:00:00,17.81,94,1.85,269,2.15
2023-04-02 22:00:00,17.81,96,1.87,267,2.59
2023-04-02 23:00:00,17.26,96,1.85,267,2.54
2023-04-03 00:00:00,17.26,93,2.07,250,2.91
2023-04-03 01:00:00,16.7,90,2.78,239,5.22
2023-04-03 02:00:00,16.15,86,2.22,248,4.56
2023-04-03 03:00:00,16.15,92,1.89,270,2.57
2023-04-03 04:00:00,16.15,93,2.14,242,2.44
2023-04-03 05:00:00,16.15,96,2.09,244,2.5
2023-04-03 06:00:00,16.15,91,2.38,247,5.2
2023-04-03 07:00:00,16.7,75,2.8,264,5.21
2023-04-03 08:00:00,17.26,63,3.39,263,4.95
2023-04-03 09:00:00,18.37,54,4.22,258,5.52
2023-04-03 10:00:00,18.93,51,4.91,239,5.96
2023-04-03 11:00:00,18.93,52,5.85,224,6.23
2023-04-03 12:00:00,18.93,49,6.25,228,6.66
2023-04-03 13:00:00,19.48,48,6.21,228,6.68
2023-04-03 14:00:00,18.93,52,6.17,222,6.74
2023-04-03 15:00:00,19.48,57,5.52,223,6.72
2023-04-03 16:00:00,18.37,62,3.96,224,6.24
2023-04-03 17:00:00,15.59,70,1.86,212,2.43
2023-04-03 18:00:00,14.48,75,0.5,213,0.62
2023-04-03 19:00:00,12.26,77,0.82,215,0.84
2023-04-03 20:00:00,11.7,78,0.54,16,0.59
2023-04-03 21:00:00,14.85,78,0.43,68,0.47
2023-04-03 22:00:00,11.15,79,0.81,89,0.8
2023-04-03 23:00:00,11.15,80,0.87,92,0.87
2023-04-04 00:00:00,11.15,81,0.73,61,0.71
2023-04-04 01:00:00,13.95,80,1.47,43,1.4
2023-04-04 02:00:00,10.59,80,1.27,39,1.26
2023-04-04 03:00:00,13.47,80,1.23,40,1.2
